claim id,doc id_1,doc id_2,doc id_3,doc id_4,doc id_5
75397,List_of_early_British_private_locomotive_manufacturers,Lar_Lubovitch_Dance_Company,NBC_Opera_Theatre,British_National_Opera_Company,Fox_Broadcasting_Company
150448,List_of_video_game_crowdfunding_projects,List_of_Chinese_hymn_books,History_of_Rome_-LRB-disambiguation-RRB-,List_of_Maxillaria_species,General_Roman_Calendar
214861,List_of_New_Music_America_performances,Acropolis_Institute_of_Technology_and_Research,List_of_video_game_crowdfunding_projects,List_of_Guggenheim_Fellowships_awarded_in_1968,The_Nritarutya_Dance_Collective
156709,Adrienne_Bailon,Certified_Accountant,Professional_accounting_body,Tour_accountant,MTV_New_Year's
129629,List_of_fictional_nurses,List_of_fictional_anthropologists,Homeland_-LRB-TV_series-RRB-,List_of_books_by_Jacob_Neusner,List_of_video_game_crowdfunding_projects
33078,1984_NBA_Finals,Jeremy_Owens,List_of_video_game_crowdfunding_projects,Sports_in_Boston,List_of_Nintendo_DS_games
6744,The_Ten_Commandments_-LRB-1956_film-RRB-,Cecil_B._DeMille,Dan_Gitlin,Allison_McGourty,Reds_-LRB-film-RRB-
226034,Snoop_Dogg_discography,Jolin_Tsai_discography,Tetris,List_of_most_valuable_records,Sechs_Kies_discography
40190,37th,Cyndi_Lauper,Hispanic_Heritage_Baseball_Museum,List_of_awards_and_nominations_received_by_Madonna,Lo_Nuestro_Award_for_Pop_New_Artist_of_the_Year
76253,List_of_video_game_crowdfunding_projects,List_of_PlayStation_3_games_released_on_disc,The_Hunger_Games,List_of_accolades_received_by_The_Hunger_Games_film_series,The_Hunger_Games_-LRB-film-RRB-
