75397,New_Amsterdam_-LRB-TV_series-RRB-,Nikolaj_Coster-Waldau,Ved_verdens_ende,The_Other_Woman_-LRB-2014_film-RRB-,A_Thousand_Times_Good_Night
150448,Joel_Spolsky,Brett_Atwood,Genre_fiction,Mary_Walsh-COLON-_Open_Book,Bedside_Press
214861,History_of_art,Art,The_arts,Fine_art,Narrative
156709,Empire_Girls-COLON-_Julissa_and_Adrienne,Adrienne_Bailon,All_You've_Got,Julissa_Bermudez,I'm_in_Love_with_a_Church_Girl
129629,Homeland_-LRB-TV_series-RRB-,List_of_Homeland_episodes,Homeland_-LRB-season_2-RRB-,Homeland_-LRB-season_6-RRB-,Homeland_-LRB-season_3-RRB-
33078,TD_Garden,Boston_Garden,List_of_Boston_Celtics_head_coaches,Boston_Celtics,The_Sports_Museum
6744,The_Ten_Commandments_-LRB-1956_film-RRB-,Katherine_Orrison,The_Ten_Commandments_-LRB-1923_film-RRB-,The_Nth_Commandment,The_King_of_Kings_-LRB-1927_film-RRB-
226034,Tetris,Sechs_Kies_discography,Familiar_to_Millions,Io_vagabondo,List_of_best-selling_Game_Boy_video_games
40190,Cyndi_Lauper,She's_So_Unusual,Memphis_Blues_-LRB-album-RRB-,Shine_On-COLON-_The_Ultimate_Collection,Time_After_Time_-LRB-Cyndi_Lauper_song-RRB-
76253,The_Hunger_Games,The_Hunger_Games-COLON-_Catching_Fire_–_Original_Motion_Picture_Soundtrack,MTV_Movie_Award_for_Best_On-Screen_Transformation,Laurie_Spiegel,Exodus_-LRB-Andy_Hunter_album-RRB-
188923,Homegrown_Cafe,Shareeka_Epps,The_Slaughter_Rule,Lars_Lindstrom,Dead_Man's_Bones
138503,Breaking_Away_-LRB-TV_series-RRB-,Stranger_Things,Todd_Jadlow,Shannon_Purser,Ivan_Fuqua
129983,On_Air_with_Ryan_Seacrest,Ryan_Seacrest,Mixology,Becoming_Us,Brian_Dunkleman
73170,List_of_lakes_of_Puerto_Rico,Political_status_of_Puerto_Rico,Puerto_Rico_-LRB-disambiguation-RRB-,Politics_of_Puerto_Rico,Puerto_Rico_Air_National_Guard
179616,Doctor_Strange_-LRB-soundtrack-RRB-,Michael_Giacchino,Lost_Original_Television_Soundtracks,43rd_Saturn_Awards,Jurassic_World-COLON-_Original_Motion_Picture_Soundtrack
207456,Stranger_than_Fiction_-LRB-soundtrack-RRB-,The_Stranger_-LRB-1973_film-RRB-,The_Stranger_Left_No_Card,Duffer_Brothers,Monster_on_the_Campus
3,Chris_Hemsworth,Vanessa_Zachos,Hemsworth_-LRB-surname-RRB-,Amy_Mizzi,Ivar_Kants
93956,Techno_Cumbia,Buenos_Amigos,Selena_-LRB-album-RRB-,Dreaming_of_You_-LRB-Selena_album-RRB-,Selena_y_Los_Dinos
